GDP per capita (USD),Life satisfaction
26456.3879381321,5.8
27287.0834009302,5.4
28384.9877846263,5.5
29932.4939100562,5.9
31007.7684065437,5.6
32181.1545372343,5.4
32238.157259275,6.1
35638.4213511812,5.7
36215.4475907307,6.3
36547.7389559849,5.9
36732.034744031,5.9
38341.3075704083,7.2
38992.1483807498,6.0
41627.129269425,6.8
42025.6173730617,6.5
42404.3937381567,7.3
45856.6256264804,7.4
47260.800458441,7.6
48210.0331113444,6.9
48697.8370282475,7.3
50683.3235097178,7.3
50922.3580234484,7.0
51935.6038618156,7.1
52279.7288513646,7.5
54209.5638357302,7.4
55938.2128086032,7.6
60235.7284916969,6.9
